track_id,enter_ts,exit_ts,dwell_seconds,enter_iso,exit_iso
305,1780327533.532861,1780327543.63244,10.1,2026-06-01T15:25:33+00:00,2026-06-01T15:25:43+00:00
306,1780327533.724133,1780327559.728534,26.0,2026-06-01T15:25:33+00:00,2026-06-01T15:25:59+00:00
301,1780327538.0755699,1780327538.103202,0.03,2026-06-01T15:25:38+00:00,2026-06-01T15:25:38+00:00
310,1780327538.0755699,1780327574.4994528,36.42,2026-06-01T15:25:38+00:00,2026-06-01T15:26:14+00:00
311,1780327538.1694999,1780327569.710604,31.54,2026-06-01T15:25:38+00:00,2026-06-01T15:26:09+00:00
313,1780327538.52089,1780327538.567007,0.05,2026-06-01T15:25:38+00:00,2026-06-01T15:25:38+00:00
314,1780327538.948203,1780327543.4748669,4.53,2026-06-01T15:25:38+00:00,2026-06-01T15:25:43+00:00
315,1780327538.9943528,1780327538.9943528,0.0,2026-06-01T15:25:38+00:00,2026-06-01T15:25:38+00:00
316,1780327543.5007942,1780327544.209541,0.71,2026-06-01T15:25:43+00:00,2026-06-01T15:25:44+00:00
315,1780327543.526345,1780327543.552703,0.03,2026-06-01T15:25:43+00:00,2026-06-01T15:25:43+00:00
317,1780327543.578631,1780327543.578631,0.0,2026-06-01T15:25:43+00:00,2026-06-01T15:25:43+00:00
297,1780327543.63244,1780327543.63244,0.0,2026-06-01T15:25:43+00:00,2026-06-01T15:25:43+00:00
318,1780327543.739972,1780327543.766436,0.03,2026-06-01T15:25:43+00:00,2026-06-01T15:25:43+00:00
319,1780327543.79421,1780327549.1570299,5.36,2026-06-01T15:25:43+00:00,2026-06-01T15:25:49+00:00
321,1780327543.819523,1780327544.1251929,0.31,2026-06-01T15:25:43+00:00,2026-06-01T15:25:44+00:00
323,1780327543.901824,1780327559.553671,15.65,2026-06-01T15:25:43+00:00,2026-06-01T15:25:59+00:00
326,1780327544.013889,1780327544.042012,0.03,2026-06-01T15:25:44+00:00,2026-06-01T15:25:44+00:00
329,1780327544.070032,1780327549.547806,5.48,2026-06-01T15:25:44+00:00,2026-06-01T15:25:49+00:00
330,1780327544.1534028,1780327544.209541,0.06,2026-06-01T15:25:44+00:00,2026-06-01T15:25:44+00:00
331,1780327544.29383,1780327559.495996,15.2,2026-06-01T15:25:44+00:00,2026-06-01T15:25:59+00:00
334,1780327544.34747,1780327559.641925,15.29,2026-06-01T15:25:44+00:00,2026-06-01T15:25:59+00:00
266,1780327548.506266,1780327548.5588539,0.05,2026-06-01T15:25:48+00:00,2026-06-01T15:25:48+00:00
335,1780327548.5588539,1780327553.7091992,5.15,2026-06-01T15:25:48+00:00,2026-06-01T15:25:53+00:00
270,1780327548.5588539,1780327554.35412,5.8,2026-06-01T15:25:48+00:00,2026-06-01T15:25:54+00:00
339,1780327548.720979,1780327548.720979,0.0,2026-06-01T15:25:48+00:00,2026-06-01T15:25:48+00:00
341,1780327548.827573,1780327549.382504,0.55,2026-06-01T15:25:48+00:00,2026-06-01T15:25:49+00:00
342,1780327549.0472,1780327559.1241019,10.08,2026-06-01T15:25:49+00:00,2026-06-01T15:25:59+00:00
346,1780327549.4917178,1780327549.547806,0.06,2026-06-01T15:25:49+00:00,2026-06-01T15:25:49+00:00
345,1780327549.4917178,1780327559.7621791,10.27,2026-06-01T15:25:49+00:00,2026-06-01T15:25:59+00:00
329,1780327553.654849,1780327553.654849,0.0,2026-06-01T15:25:53+00:00,2026-06-01T15:25:53+00:00
349,1780327553.843992,1780327554.154131,0.31,2026-06-01T15:25:53+00:00,2026-06-01T15:25:54+00:00
351,1780327554.154131,1780327554.381808,0.23,2026-06-01T15:25:54+00:00,2026-06-01T15:25:54+00:00
353,1780327554.2096472,1780327559.699546,5.49,2026-06-01T15:25:54+00:00,2026-06-01T15:25:59+00:00
354,1780327554.2096472,1780327559.672117,5.46,2026-06-01T15:25:54+00:00,2026-06-01T15:25:59+00:00
357,1780327554.6666722,1780327559.790755,5.12,2026-06-01T15:25:54+00:00,2026-06-01T15:25:59+00:00
359,1780327554.725667,1780327589.742518,35.02,2026-06-01T15:25:54+00:00,2026-06-01T15:26:29+00:00
351,1780327558.767221,1780327558.828894,0.06,2026-06-01T15:25:58+00:00,2026-06-01T15:25:58+00:00
360,1780327558.767221,1780327564.123456,5.36,2026-06-01T15:25:58+00:00,2026-06-01T15:26:04+00:00
367,1780327559.057297,1780327564.123456,5.07,2026-06-01T15:25:59+00:00,2026-06-01T15:26:04+00:00
369,1780327559.207853,1780327559.728534,0.52,2026-06-01T15:25:59+00:00,2026-06-01T15:25:59+00:00
370,1780327559.265513,1780327559.819691,0.55,2026-06-01T15:25:59+00:00,2026-06-01T15:25:59+00:00
375,1780327559.495996,1780327564.094582,4.6,2026-06-01T15:25:59+00:00,2026-06-01T15:26:04+00:00
376,1780327559.553671,1780327559.728534,0.17,2026-06-01T15:25:59+00:00,2026-06-01T15:25:59+00:00
378,1780327559.672117,1780327559.790755,0.12,2026-06-01T15:25:59+00:00,2026-06-01T15:25:59+00:00
380,1780327559.7621791,1780327563.9537458,4.19,2026-06-01T15:25:59+00:00,2026-06-01T15:26:03+00:00
345,1780327563.805933,1780327564.010805,0.2,2026-06-01T15:26:03+00:00,2026-06-01T15:26:04+00:00
370,1780327563.805933,1780327564.460804,0.65,2026-06-01T15:26:03+00:00,2026-06-01T15:26:04+00:00
353,1780327563.805933,1780327569.8641028,6.06,2026-06-01T15:26:03+00:00,2026-06-01T15:26:09+00:00
342,1780327563.835139,1780327564.1807191,0.35,2026-06-01T15:26:03+00:00,2026-06-01T15:26:04+00:00
389,1780327563.92505,1780327564.811884,0.89,2026-06-01T15:26:03+00:00,2026-06-01T15:26:04+00:00
387,1780327563.92505,1780327569.739085,5.81,2026-06-01T15:26:03+00:00,2026-06-01T15:26:09+00:00
354,1780327564.010805,1780327600.584216,36.57,2026-06-01T15:26:04+00:00,2026-06-01T15:26:40+00:00
